Organisation,Svardato,Måling,Fokus,Spørgsmål,Spørgsmålstype,Svar,"Kommentar (valgfri)","Max valg (hvis flere valgmuligheder)"
"2023-02-08 07:06:14","M1 - Uge 6",Lærepladssøgning,"Vælg den mulighed, der passer bedst på din situation:","Én valgmulighed","Jeg forventer at have en læreplads inden for den kommende måned",,
"2023-02-08 07:06:16","M1 - Uge 6","Generel Trivsel","Jeg er glad for at gå på {org}","0-10 rating (slider)",10,"Lærene, energien og fællesskabet der er i klassen",
"2023-02-08 07:06:18","M1 - Uge 6","Undervisning og faglig forståelse","Måden undervisningen foregår på gør det nemt for mig at lære og forstå, de ting vi gennemgår","0-10 rating (slider)",5,"det ved jeg ikke",
"2023-02-08 07:06:18","M1 - Uge 6",Lærepladssøgning,"Jeg har registreret mig på lærepladsen.dk","Én valgmulighed",Ja,,
"2023-02-08 07:06:21","M1 - Uge 6","Generel Trivsel","Jeg er glad for at gå på {org}","0-10 rating (slider)",9,"God sammenhold og man bliver ikke sat i passivitets tilstand.",
"2023-02-08 07:06:22","M1 - Uge 6",Lærepladssøgning,"Jeg har registreret mig på lærepladsen.dk","Én valgmulighed",Ja,,
"2023-02-08 07:06:22","M1 - Uge 6",Hovedforløb-sandsynlighed,"Jeg forventer at fortsætte på hovedforløbet","0-10 rating (slider)",10,,
"2023-02-08 07:06:25","M1 - Uge 6","Ønsker kontakt","Ønsker du at blive kontaktet af en lærepladskonsulent?","Én valgmulighed","Nej tak",,
"2023-02-08 07:06:25","M1 - Uge 6","Ønsker kontakt","Ønsker du at blive kontaktet af en lærepladskonsulent?","Én valgmulighed","Nej tak",,
"2023-02-08 07:06:25","M1 - Uge 6",Hovedforløb-sandsynlighed,"Jeg forventer at fortsætte på hovedforløbet","0-10 rating (slider)",10,,
"2023-02-08 07:06:25","M1 - Uge 6",Klassetrivsel,"Jeg er glad for min klasse","0-10 rating (slider)",10,,
"2023-02-08 07:06:27","M1 - Uge 6","Undervisning og faglig forståelse","Måden undervisningen foregår på gør det nemt for mig at lære og forstå, de ting vi gennemgår","0-10 rating (slider)",7,"At folk ikke afbryder hindanden. har ikke lyst til at ""point fingers"" men føler at Osama afbryder knap nok altid.",
"2023-02-08 07:06:28","M1 - Uge 6","Undervisning og faglig forståelse","Måden undervisningen foregår på gør det nemt for mig at lære og forstå, de ting vi gennemgår","0-10 rating (slider)",7,"Ingen ide",
"2023-02-08 07:06:28","M1 - Uge 6",Klassetrivsel,"Jeg er glad for min klasse","0-10 rating (slider)",10,,
"2023-02-08 07:06:30","M1 - Uge 6","Kobling til arbejdslivet","Det jeg lærer i undervisningen kan jeg bruge i mit kommende arbejdsliv","0-10 rating (slider)",6,,
"2023-02-08 07:06:30","M1 - Uge 6","Relationer til lærer","Jeg føler, at jeg kan gå til en lærer, hvis jeg har brug for hjælp eller støtte","0-10 rating (slider)",8,,
"2023-02-08 07:06:30","M1 - Uge 6","Segmentering: Uddannelsesinstitution","Vælg din uddannelse GF2","Én valgmulighed","Data og IT",,
"2023-02-08 07:06:32","M1 - Uge 6","Ønsker kontakt","Ønsker du at blive kontaktet af en lærepladskonsulent?","Én valgmulighed","Nej tak",,
"2023-02-08 07:06:32","M1 - Uge 6","Relationer til lærer","Jeg føler, at jeg kan gå til en lærer, hvis jeg har brug for hjælp eller støtte","0-10 rating (slider)",10,,
